period,stateid,stateDescription,sectorid,sectorName,price,price-units
2023-10,SAT,South Atlantic,IND,industrial,7.45,cents per kilowatt-hour
2023-10,SAT,South Atlantic,OTH,other,,cents per kilowatt-hour
2023-10,SAT,South Atlantic,RES,residential,15,cents per kilowatt-hour
2023-10,SAT,South Atlantic,TRA,transportation,10.25,cents per kilowatt-hour
2023-10,ESC,East South Central,ALL,all sectors,10.7,cents per kilowatt-hour
2023-10,ESC,East South Central,COM,commercial,11.97,cents per kilowatt-hour
2023-10,ESC,East South Central,IND,industrial,6.7,cents per kilowatt-hour
2023-10,ESC,East South Central,OTH,other,,cents per kilowatt-hour
2023-10,ESC,East South Central,RES,residential,13.48,cents per kilowatt-hour
2023-10,ESC,East South Central,TRA,transportation,0,cents per kilowatt-hour
2023-10,WSC,West South Central,ALL,all sectors,9.74,cents per kilowatt-hour
2023-10,WSC,West South Central,COM,commercial,9.15,cents per kilowatt-hour
2023-10,WSC,West South Central,IND,industrial,6.38,cents per kilowatt-hour
2023-10,WSC,West South Central,OTH,other,,cents per kilowatt-hour
2023-10,WSC,West South Central,RES,residential,14.18,cents per kilowatt-hour
2023-10,WSC,West South Central,TRA,transportation,7.34,cents per kilowatt-hour
2023-10,MTN,Mountain,ALL,all sectors,10.84,cents per kilowatt-hour
2023-10,MTN,Mountain,COM,commercial,10.83,cents per kilowatt-hour
2023-10,MTN,Mountain,IND,industrial,7.52,cents per kilowatt-hour
2023-10,MTN,Mountain,OTH,other,,cents per kilowatt-hour
2023-09,LA,Louisiana,IND,industrial,5.35,cents per kilowatt-hour
2023-09,LA,Louisiana,OTH,other,,cents per kilowatt-hour
2023-09,LA,Louisiana,RES,residential,11.42,cents per kilowatt-hour
2023-09,LA,Louisiana,TRA,transportation,10.52,cents per kilowatt-hour
2023-09,ME,Maine,ALL,all sectors,20.2,cents per kilowatt-hour
2023-09,ME,Maine,COM,commercial,16.94,cents per kilowatt-hour
2023-09,ME,Maine,IND,industrial,12.47,cents per kilowatt-hour
2023-09,ME,Maine,OTH,other,,cents per kilowatt-hour
2023-09,ME,Maine,RES,residential,26.79,cents per kilowatt-hour
2023-09,ME,Maine,TRA,transportation,0,cents per kilowatt-hour
2023-09,MD,Maryland,ALL,all sectors,14.26,cents per kilowatt-hour
2023-09,MD,Maryland,COM,commercial,12.41,cents per kilowatt-hour
2023-09,MD,Maryland,IND,industrial,9.82,cents per kilowatt-hour
2023-09,MD,Maryland,OTH,other,,cents per kilowatt-hour
2023-09,MD,Maryland,RES,residential,16.95,cents per kilowatt-hour
2023-09,MD,Maryland,TRA,transportation,11.44,cents per kilowatt-hour
2023-09,MA,Massachusetts,ALL,all sectors,22.22,cents per kilowatt-hour
2023-09,MA,Massachusetts,COM,commercial,18.71,cents per kilowatt-hour
2023-09,MA,Massachusetts,IND,industrial,17.44,cents per kilowatt-hour
2023-09,MA,Massachusetts,OTH,other,,cents per kilowatt-hour
2023-09,MA,Massachusetts,RES,residential,28.18,cents per kilowatt-hour
2023-09,MA,Massachusetts,TRA,transportation,6.79,cents per kilowatt-hour
2023-09,MI,Michigan,ALL,all sectors,13.73,cents per kilowatt-hour
2023-09,MI,Michigan,COM,commercial,13.23,cents per kilowatt-hour
2023-09,MI,Michigan,IND,industrial,8.18,cents per kilowatt-hour
2023-09,MI,Michigan,OTH,other,,cents per kilowatt-hour
2023-09,MI,Michigan,RES,residential,19.49,cents per kilowatt-hour
2023-09,MI,Michigan,TRA,transportation,13.71,cents per kilowatt-hour
2023-09,MN,Minnesota,ALL,all sectors,12.74,cents per kilowatt-hour
2023-09,MN,Minnesota,COM,commercial,12.97,cents per kilowatt-hour
2023-09,MN,Minnesota,IND,industrial,9.7,cents per kilowatt-hour
2023-09,MN,Minnesota,OTH,other,,cents per kilowatt-hour
2023-09,MN,Minnesota,RES,residential,15.44,cents per kilowatt-hour
2023-09,MN,Minnesota,TRA,transportation,12.53,cents per kilowatt-hour
2023-01,NJ,New Jersey,ALL,all sectors,14.7,cents per kilowatt-hour
2023-01,NJ,New Jersey,COM,commercial,13.54,cents per kilowatt-hour
2023-01,NJ,New Jersey,IND,industrial,11.94,cents per kilowatt-hour
2023-01,NJ,New Jersey,OTH,other,,cents per kilowatt-hour
2023-01,NJ,New Jersey,RES,residential,16.89,cents per kilowatt-hour
2023-01,NJ,New Jersey,TRA,transportation,14.36,cents per kilowatt-hour
2023-11,MAT,Middle Atlantic,TRA,transportation,14.82,cents per kilowatt-hour
2023-11,ENC,East North Central,ALL,all sectors,11.79,cents per kilowatt-hour
2023-11,ENC,East North Central,COM,commercial,11.94,cents per kilowatt-hour
2023-11,ENC,East North Central,IND,industrial,7.78,cents per kilowatt-hour
2023-11,ENC,East North Central,OTH,other,,cents per kilowatt-hour
2023-11,ENC,East North Central,RES,residential,16.18,cents per kilowatt-hour
2023-11,ENC,East North Central,TRA,transportation,5.94,cents per kilowatt-hour
2023-11,WNC,West North Central,ALL,all sectors,9.82,cents per kilowatt-hour
2023-11,WNC,West North Central,COM,commercial,9.72,cents per kilowatt-hour
2023-11,WNC,West North Central,IND,industrial,7.28,cents per kilowatt-hour
2023-11,WNC,West North Central,OTH,other,,cents per kilowatt-hour
2023-11,WNC,West North Central,RES,residential,12.67,cents per kilowatt-hour
2023-11,WNC,West North Central,TRA,transportation,10.47,cents per kilowatt-hour
2023-11,SAT,South Atlantic,ALL,all sectors,11.74,cents per kilowatt-hour
2023-11,SAT,South Atlantic,COM,commercial,10.74,cents per kilowatt-hour
2023-11,SAT,South Atlantic,IND,industrial,7.44,cents per kilowatt-hour
2023-11,SAT,South Atlantic,OTH,other,,cents per kilowatt-hour
2023-11,SAT,South Atlantic,RES,residential,14.54,cents per kilowatt-hour
2023-11,SAT,South Atlantic,TRA,transportation,10.21,cents per kilowatt-hour
2023-11,ESC,East South Central,ALL,all sectors,10.7,cents per kilowatt-hour
2023-11,ESC,East South Central,COM,commercial,12.01,cents per kilowatt-hour
2023-11,ESC,East South Central,IND,industrial,6.7,cents per kilowatt-hour
2023-11,ESC,East South Central,OTH,other,,cents per kilowatt-hour
2023-11,ESC,East South Central,RES,residential,13.53,cents per kilowatt-hour
2023-11,ESC,East South Central,TRA,transportation,0,cents per kilowatt-hour
2023-01,NM,New Mexico,ALL,all sectors,9.26,cents per kilowatt-hour
2023-01,NM,New Mexico,COM,commercial,10.27,cents per kilowatt-hour
2023-01,NM,New Mexico,IND,industrial,5.75,cents per kilowatt-hour
2023-01,NM,New Mexico,OTH,other,,cents per kilowatt-hour
2023-01,NM,New Mexico,RES,residential,13.27,cents per kilowatt-hour
2023-01,NM,New Mexico,TRA,transportation,0,cents per kilowatt-hour
2023-01,NY,New York,ALL,all sectors,18.97,cents per kilowatt-hour
2023-01,NY,New York,COM,commercial,17.97,cents per kilowatt-hour
2023-01,NY,New York,IND,industrial,7.49,cents per kilowatt-hour
2023-01,NY,New York,OTH,other,,cents per kilowatt-hour
2023-01,NY,New York,RES,residential,23.62,cents per kilowatt-hour
2023-01,NY,New York,TRA,transportation,14.75,cents per kilowatt-hour
2023-01,NC,North Carolina,ALL,all sectors,10.64,cents per kilowatt-hour
2023-01,NC,North Carolina,COM,commercial,9.76,cents per kilowatt-hour
2023-01,NC,North Carolina,IND,industrial,7.34,cents per kilowatt-hour
2023-01,NC,North Carolina,OTH,other,,cents per kilowatt-hour
2023-01,NC,North Carolina,RES,residential,12.37,cents per kilowatt-hour
2023-01,NC,North Carolina,TRA,transportation,7.69,cents per kilowatt-hour
2023-01,ND,North Dakota,ALL,all sectors,8.32,cents per kilowatt-hour
2023-01,ND,North Dakota,COM,commercial,8.21,cents per kilowatt-hour
2023-01,ND,North Dakota,IND,industrial,7.39,cents per kilowatt-hour
2023-11,WSC,West South Central,ALL,all sectors,9.21,cents per kilowatt-hour
2023-11,WSC,West South Central,COM,commercial,8.85,cents per kilowatt-hour
2023-11,WSC,West South Central,IND,industrial,6.05,cents per kilowatt-hour
2023-11,WSC,West South Central,OTH,other,,cents per kilowatt-hour
2023-11,WSC,West South Central,RES,residential,13.86,cents per kilowatt-hour
2023-11,WSC,West South Central,TRA,transportation,7.77,cents per kilowatt-hour
2023-11,MTN,Mountain,ALL,all sectors,10.79,cents per kilowatt-hour
2023-11,MTN,Mountain,COM,commercial,10.76,cents per kilowatt-hour
2023-11,MTN,Mountain,IND,industrial,7.54,cents per kilowatt-hour
2023-11,MTN,Mountain,OTH,other,,cents per kilowatt-hour
2023-11,MTN,Mountain,RES,residential,13.85,cents per kilowatt-hour
2023-11,MTN,Mountain,TRA,transportation,12.57,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,ALL,all sectors,18.63,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,COM,commercial,18.82,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,IND,industrial,13.08,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,OTH,other,,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,RES,residential,21.57,cents per kilowatt-hour
2023-11,PACC,Pacific Contiguous,TRA,transportation,13.17,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,ALL,all sectors,32.59,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,COM,commercial,30.99,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,IND,industrial,31.87,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,RES,residential,35.06,cents per kilowatt-hour
2023-11,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatt-hour
2023-11,US,U.S. Total,ALL,all sectors,12.44,cents per kilowatt-hour
2023-11,US,U.S. Total,COM,commercial,12.43,cents per kilowatt-hour
2023-11,US,U.S. Total,IND,industrial,7.79,cents per kilowatt-hour
2023-11,US,U.S. Total,OTH,other,,cents per kilowatt-hour
2023-11,US,U.S. Total,RES,residential,16.19,cents per kilowatt-hour
2023-11,US,U.S. Total,TRA,transportation,12.6,cents per kilowatt-hour
2023-05,AZ,Arizona,COM,commercial,12.12,cents per kilowatt-hour
2023-05,AZ,Arizona,IND,industrial,8.01,cents per kilowatt-hour
2023-05,AZ,Arizona,OTH,other,,cents per kilowatt-hour
2023-05,AZ,Arizona,RES,residential,14.3,cents per kilowatt-hour
2023-05,AZ,Arizona,TRA,transportation,10.45,cents per kilowatt-hour
2023-05,AR,Arkansas,ALL,all sectors,9.22,cents per kilowatt-hour
2023-05,AR,Arkansas,COM,commercial,10.26,cents per kilowatt-hour
2023-05,AR,Arkansas,IND,industrial,6.3,cents per kilowatt-hour
2023-05,AR,Arkansas,OTH,other,,cents per kilowatt-hour
2023-05,AR,Arkansas,RES,residential,12.32,cents per kilowatt-hour
2023-05,AR,Arkansas,TRA,transportation,15.12,cents per kilowatt-hour
2023-05,CA,California,ALL,all sectors,23.42,cents per kilowatt-hour
2023-05,CA,California,COM,commercial,21.77,cents per kilowatt-hour
2023-05,CA,California,IND,industrial,17.7,cents per kilowatt-hour
2023-05,CA,California,OTH,other,,cents per kilowatt-hour
2023-05,CA,California,RES,residential,29.82,cents per kilowatt-hour
2023-05,CA,California,TRA,transportation,13.12,cents per kilowatt-hour
2023-05,CO,Colorado,ALL,all sectors,11.5,cents per kilowatt-hour
2023-05,CO,Colorado,COM,commercial,11.23,cents per kilowatt-hour
2023-05,CO,Colorado,IND,industrial,8.46,cents per kilowatt-hour
2023-05,CO,Colorado,OTH,other,,cents per kilowatt-hour
2023-05,CO,Colorado,RES,residential,14.34,cents per kilowatt-hour
2023-05,CO,Colorado,TRA,transportation,11.3,cents per kilowatt-hour
2023-05,CT,Connecticut,ALL,all sectors,23.81,cents per kilowatt-hour
2023-05,CT,Connecticut,COM,commercial,19.33,cents per kilowatt-hour
2023-06,ME,Maine,ALL,all sectors,20.5,cents per kilowatt-hour
2023-06,ME,Maine,COM,commercial,18.44,cents per kilowatt-hour
2023-06,ME,Maine,IND,industrial,11.58,cents per kilowatt-hour
2023-06,ME,Maine,OTH,other,,cents per kilowatt-hour
2023-06,ME,Maine,RES,residential,27.56,cents per kilowatt-hour
2023-06,ME,Maine,TRA,transportation,0,cents per kilowatt-hour
2023-06,MD,Maryland,ALL,all sectors,14.25,cents per kilowatt-hour
2023-06,MD,Maryland,COM,commercial,12.5,cents per kilowatt-hour
2023-06,MD,Maryland,IND,industrial,9.57,cents per kilowatt-hour
2023-06,MD,Maryland,OTH,other,,cents per kilowatt-hour
2023-06,MD,Maryland,RES,residential,17,cents per kilowatt-hour
2023-06,MD,Maryland,TRA,transportation,11.16,cents per kilowatt-hour
2023-06,MA,Massachusetts,ALL,all sectors,21.99,cents per kilowatt-hour
2023-06,MA,Massachusetts,COM,commercial,19.36,cents per kilowatt-hour
2023-06,MA,Massachusetts,IND,industrial,17.5,cents per kilowatt-hour
2023-06,MA,Massachusetts,OTH,other,,cents per kilowatt-hour
2023-06,MA,Massachusetts,RES,residential,27.52,cents per kilowatt-hour
2023-06,MA,Massachusetts,TRA,transportation,7.28,cents per kilowatt-hour
2023-06,MI,Michigan,ALL,all sectors,13.96,cents per kilowatt-hour
2023-06,MI,Michigan,COM,commercial,13.69,cents per kilowatt-hour
2023-06,MI,Michigan,IND,industrial,8.19,cents per kilowatt-hour
2023-06,MI,Michigan,OTH,other,,cents per kilowatt-hour
2023-06,MI,Michigan,RES,residential,19.38,cents per kilowatt-hour
2023-06,MI,Michigan,TRA,transportation,13.85,cents per kilowatt-hour
2023-06,MN,Minnesota,ALL,all sectors,13.1,cents per kilowatt-hour
2023-06,MN,Minnesota,COM,commercial,13.38,cents per kilowatt-hour
2023-06,MN,Minnesota,IND,industrial,9.9,cents per kilowatt-hour
2023-06,MN,Minnesota,OTH,other,,cents per kilowatt-hour
2023-06,MN,Minnesota,RES,residential,15.68,cents per kilowatt-hour
2023-06,MN,Minnesota,TRA,transportation,13.9,cents per kilowatt-hour
2023-06,MS,Mississippi,ALL,all sectors,10.97,cents per kilowatt-hour
2023-06,MS,Mississippi,COM,commercial,12.27,cents per kilowatt-hour
2023-06,MS,Mississippi,IND,industrial,6.9,cents per kilowatt-hour
2023-06,MS,Mississippi,OTH,other,,cents per kilowatt-hour
2023-05,CT,Connecticut,IND,industrial,14.61,cents per kilowatt-hour
2023-05,CT,Connecticut,OTH,other,,cents per kilowatt-hour
2023-05,CT,Connecticut,RES,residential,31.36,cents per kilowatt-hour
2023-05,CT,Connecticut,TRA,transportation,16.12,cents per kilowatt-hour
2023-05,DE,Delaware,ALL,all sectors,12.41,cents per kilowatt-hour
2023-05,DE,Delaware,COM,commercial,11.88,cents per kilowatt-hour
2023-05,DE,Delaware,IND,industrial,6.99,cents per kilowatt-hour
2023-05,DE,Delaware,OTH,other,,cents per kilowatt-hour
2023-05,DE,Delaware,RES,residential,16.62,cents per kilowatt-hour
2023-05,DE,Delaware,TRA,transportation,0,cents per kilowatt-hour
2023-05,DC,District of Columbia,ALL,all sectors,16.52,cents per kilowatt-hour
2023-05,DC,District of Columbia,COM,commercial,16.75,cents per kilowatt-hour
2023-05,DC,District of Columbia,IND,industrial,11.06,cents per kilowatt-hour
2023-05,DC,District of Columbia,OTH,other,,cents per kilowatt-hour
2023-05,DC,District of Columbia,RES,residential,17.09,cents per kilowatt-hour
2023-05,DC,District of Columbia,TRA,transportation,10.39,cents per kilowatt-hour
2023-05,FL,Florida,ALL,all sectors,13.34,cents per kilowatt-hour
2023-05,FL,Florida,COM,commercial,11.81,cents per kilowatt-hour
2023-05,FL,Florida,IND,industrial,9.13,cents per kilowatt-hour
2023-05,FL,Florida,OTH,other,,cents per kilowatt-hour
2023-05,FL,Florida,RES,residential,15.09,cents per kilowatt-hour
2023-05,FL,Florida,TRA,transportation,11.49,cents per kilowatt-hour
2023-05,GA,Georgia,ALL,all sectors,10.59,cents per kilowatt-hour
2023-06,MS,Mississippi,RES,residential,13.27,cents per kilowatt-hour
2023-06,MS,Mississippi,TRA,transportation,0,cents per kilowatt-hour
2023-06,MO,Missouri,ALL,all sectors,12.13,cents per kilowatt-hour
2023-06,MO,Missouri,COM,commercial,11.28,cents per kilowatt-hour
2023-06,MO,Missouri,IND,industrial,8.58,cents per kilowatt-hour
2023-06,MO,Missouri,OTH,other,,cents per kilowatt-hour
2023-06,MO,Missouri,RES,residential,14.1,cents per kilowatt-hour
2023-06,MO,Missouri,TRA,transportation,9.7,cents per kilowatt-hour
2023-06,MT,Montana,ALL,all sectors,10.55,cents per kilowatt-hour
2023-06,MT,Montana,COM,commercial,12.24,cents per kilowatt-hour
2023-06,MT,Montana,IND,industrial,6.59,cents per kilowatt-hour
2023-06,MT,Montana,OTH,other,,cents per kilowatt-hour
2023-06,MT,Montana,RES,residential,13.16,cents per kilowatt-hour
2023-06,MT,Montana,TRA,transportation,0,cents per kilowatt-hour
2023-06,NE,Nebraska,ALL,all sectors,9.66,cents per kilowatt-hour
2023-06,NE,Nebraska,COM,commercial,9.2,cents per kilowatt-hour
2023-06,NE,Nebraska,IND,industrial,8.12,cents per kilowatt-hour
2023-06,NE,Nebraska,OTH,other,,cents per kilowatt-hour
2023-10,MTN,Mountain,RES,residential,13.86,cents per kilowatt-hour
2023-10,MTN,Mountain,TRA,transportation,12.92,cents per kilowatt-hour
2024-01,IN,Indiana,RES,residential,14,cents per kilowatt-hour
2024-01,IN,Indiana,TRA,transportation,11.86,cents per kilowatt-hour
2024-01,IA,Iowa,ALL,all sectors,8.93,cents per kilowatt-hour
2024-01,IA,Iowa,COM,commercial,9.69,cents per kilowatt-hour
2024-01,IA,Iowa,IND,industrial,6.48,cents per kilowatt-hour
2024-01,IA,Iowa,OTH,other,,cents per kilowatt-hour
2024-01,IA,Iowa,RES,residential,11.85,cents per kilowatt-hour
2024-01,IA,Iowa,TRA,transportation,0,cents per kilowatt-hour
2024-01,KS,Kansas,ALL,all sectors,10.89,cents per kilowatt-hour
2024-01,KS,Kansas,COM,commercial,10.5,cents per kilowatt-hour
2024-01,KS,Kansas,IND,industrial,8.1,cents per kilowatt-hour
2024-01,KS,Kansas,OTH,other,,cents per kilowatt-hour
2024-01,KS,Kansas,RES,residential,13.04,cents per kilowatt-hour
2024-01,KS,Kansas,TRA,transportation,0,cents per kilowatt-hour
2024-01,KY,Kentucky,ALL,all sectors,10.61,cents per kilowatt-hour
2024-01,KY,Kentucky,COM,commercial,11.63,cents per kilowatt-hour
2024-01,KY,Kentucky,IND,industrial,7.18,cents per kilowatt-hour
2024-01,KY,Kentucky,OTH,other,,cents per kilowatt-hour
2024-01,KY,Kentucky,RES,residential,12.51,cents per kilowatt-hour
2024-01,KY,Kentucky,TRA,transportation,0,cents per kilowatt-hour
2024-01,LA,Louisiana,ALL,all sectors,8.41,cents per kilowatt-hour
2024-01,LA,Louisiana,COM,commercial,9.48,cents per kilowatt-hour
2024-01,LA,Louisiana,IND,industrial,5.75,cents per kilowatt-hour
2024-01,LA,Louisiana,OTH,other,,cents per kilowatt-hour
2024-01,LA,Louisiana,RES,residential,10.82,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,ALL,all sectors,20.23,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,COM,commercial,20.4,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,IND,industrial,14.54,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,OTH,other,,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,RES,residential,23.84,cents per kilowatt-hour
2023-10,PACC,Pacific Contiguous,TRA,transportation,14.42,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,ALL,all sectors,31.97,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,COM,commercial,30.65,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,IND,industrial,30.39,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,RES,residential,35.18,cents per kilowatt-hour
2023-10,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatt-hour
2023-12,MD,Maryland,TRA,transportation,11.7,cents per kilowatt-hour
2023-12,MA,Massachusetts,ALL,all sectors,23.1,cents per kilowatt-hour
2023-12,MA,Massachusetts,COM,commercial,19.74,cents per kilowatt-hour
2023-12,MA,Massachusetts,IND,industrial,17.66,cents per kilowatt-hour
2023-12,MA,Massachusetts,OTH,other,,cents per kilowatt-hour
2023-12,MA,Massachusetts,RES,residential,28.94,cents per kilowatt-hour
2023-12,MA,Massachusetts,TRA,transportation,6.94,cents per kilowatt-hour
2023-12,MI,Michigan,ALL,all sectors,13.78,cents per kilowatt-hour
2023-12,MI,Michigan,COM,commercial,13.23,cents per kilowatt-hour
2023-12,MI,Michigan,IND,industrial,8.29,cents per kilowatt-hour
2023-12,MI,Michigan,OTH,other,,cents per kilowatt-hour
2023-12,MI,Michigan,RES,residential,18.7,cents per kilowatt-hour
2023-12,MI,Michigan,TRA,transportation,13.68,cents per kilowatt-hour
2023-12,MN,Minnesota,ALL,all sectors,11.46,cents per kilowatt-hour
2023-12,MN,Minnesota,COM,commercial,11.39,cents per kilowatt-hour
2023-12,MN,Minnesota,IND,industrial,8.44,cents per kilowatt-hour
2023-12,MN,Minnesota,OTH,other,,cents per kilowatt-hour
2023-12,MN,Minnesota,RES,residential,14.09,cents per kilowatt-hour
2023-12,MN,Minnesota,TRA,transportation,10.52,cents per kilowatt-hour
2023-12,MS,Mississippi,ALL,all sectors,10.75,cents per kilowatt-hour
2023-12,MS,Mississippi,COM,commercial,12.43,cents per kilowatt-hour
2023-12,MS,Mississippi,IND,industrial,6.89,cents per kilowatt-hour
